Date : 2024-06-06 09:20:45
Directory : c:\Webapp\ServiceDeliveryNetwork
Total : 272 files,  35661 codes, 8396 comments, 7792 blanks, all 51849 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ja.php                      | PHP        |         20 |          7 |          3 |         30 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ka.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ko.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-lt.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-lv.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-mg.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-mn.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ms.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-nb.php                      | PHP        |         27 |          4 |          3 |         34 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-nl.php                      | PHP        |         27 |          5 |          3 |         35 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-pl.php                      | PHP        |         20 |          4 |          3 |         27 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-pt.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-pt_br.php                   | PHP        |         27 |          9 |          3 |         39 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ro.php                      | PHP        |         27 |          4 |          3 |         34 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ru.php                      | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-si.php                      | PHP        |         27 |          5 |          3 |         35 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-sk.php                      | PHP        |         22 |          6 |          3 |         31 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-sl.php                      | PHP        |         27 |          7 |          3 |         37 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-sr.php                      | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-sr_latn.php                 | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-sv.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-tl.php                      | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-tr.php                      | PHP        |         20 |          9 |          3 |         32 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-uk.php                      | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-vi.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-zh.php                      | PHP        |         20 |          7 |          3 |         30 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-zh_cn.php                   | PHP        |         27 |          7 |          3 |         37 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\DSNConfigurator.php                             | PHP        |        136 |         80 |         30 |        246 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\Exception.php                                   | PHP        |          9 |         28 |          4 |         41 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\OAuth.php                                       | PHP        |         46 |         79 |         15 |        140 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\OAuthTokenProvider.php                          | PHP        |          6 |         35 |          4 |         45 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\PHPMailer.php                                   | PHP        |      2,854 |      1,890 |        383 |      5,127 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\POP3.php                                        | PHP        |        181 |        234 |         53 |        468 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\src\SMTP.php                                        | PHP        |        721 |        604 |        142 |      1,467 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\Records.php                                                         | PHP        |         60 |          7 |         41 |        108 |
